潘金莲,武大郎,第二 三零章 ‘ 潘金莲 ’ KO ‘ 武大郎 ’ （ 二 ）,人物关系/亲属关系/配偶/丈夫/现夫
朱七七,沈浪,沈浪 与 白飞飞 前去 探望 朱七七 ， 熊猫儿 热情 挽留 沈 留下来 喝酒 。,人物关系/亲属关系/配偶/丈夫/现夫
张茜,张卫健,任贤齐 、 林心如 、 黎耀祥 、 黎姿 、 郑伊健 、 袁咏仪 、 张卫健 、 吴孟达 、 张茜 、 陈晓东 、 林熙蕾 、 杨恭如 、 陈法蓉 、,人物关系/亲属关系/配偶/丈夫/现夫
丁芯,赵宝刚,3 个人 生活 : 结婚 : 丁芯 丈夫 赵宝刚 。,人物关系/亲属关系/配偶/丈夫/现夫
熊美玲,林秋离,有些 话 不能 说 歌曲歌词 : 词曲作者 ： 作词 ： 林秋离 作曲 ： 熊美玲 编曲 ： 王豫民,人物关系/亲属关系/配偶/丈夫/现夫
胡善祥,朱瞻基,宣宗 朱瞻基 皇后 胡善祥,人物关系/亲属关系/配偶/丈夫/现夫
秦香莲,陈世美,陈世美 看见 秦香莲 带 着 儿女 找 来 ， 唯恐 失去 功名 富禄 ， 就 昧着良心 ， 不认 妻儿 ， 并 将 秦香莲 母子 赶出 了 宫门 。,人物关系/亲属关系/配偶/丈夫/现夫
蓝琼璎,何鸿燊,1 人物 家族 : 澳门 赌王 何鸿燊 与 蓝琼璎 之女 ， 在 何鸿燊 11 位 女儿 中 排行 第五 。,人物关系/亲属关系/配偶/丈夫/现夫
宣姜,卫宣公,宣姜 后 被迫 嫁 与 卫宣公 另 一个 儿子 公子 顽 ， 生 了 子女 五人 ： 公子 齐子 、 卫戴公 、 卫文公 、 宋 桓夫人 、 许穆 宣姜 夫人 ．,人物关系/亲属关系/配偶/丈夫/现夫
娄昭君,高欢,娄昭君 北齐 神武帝 高欢 皇后,人物关系/亲属关系/配偶/丈夫/现夫
王茜,徐庆东,2 ， 36 集 电视 系列剧 《 重案 六组 3 》 导演 ： 徐庆东 主演 ： 王茜 、 王超 、 张潮 等,人物关系/亲属关系/配偶/丈夫/现夫
穆桂英,杨宗保,单挑 ： 孟良 VS 穆桂英 ； 焦赞 VS 穆桂英 ； 杨宗保 VS 穆桂英,人物关系/亲属关系/配偶/丈夫/现夫
何超琼,许晋亨,虽然 许晋亨 和 何超琼 也 是 离婚 收场 ， 而 刘嘉玲 也 和 梁朝伟 展开 了 至今 已经 18 年 的 爱情长跑 ， 但 那 已经 是 后 话 。,人物关系/亲属关系/配偶/丈夫/前夫
傅明宪,叶剑波,叶剑波 人物 评价 : 叶剑波 提及 香港 海域 集团 主席 叶剑波 ， 不少 人 最 津津乐道 的 是 他 背后 的 女人 － － 息影 艺人 傅明宪 。,人物关系/亲属关系/配偶/丈夫/前夫
梁静慈,甄子丹,分居 书 发下 后 ， 甄子丹 搬离 两人 的 家 ， 此时 梁静慈 已有 身孕 ， 她 随后 诞下 儿子 ， 取名 文卓 。,人物关系/亲属关系/配偶/丈夫/前夫
姜坤,汤镇业,1993 年 ， 汤镇业 与 小 他 13 岁 的 亚视 中日 混血 艺员 姜坤 结婚 ， 育有 双胞胎 儿子 和 一女 ， 2001 年 离婚 [ 18 - 20 ] 。,人物关系/亲属关系/配偶/丈夫/前夫
傅明宪,叶剑波,叶剑波 更频 现港媒 的 娱乐 版面 ， 和 其妻 － － － 前 香港 TVB 女星 、 《 神雕侠侣 》 “ 郭 芙 ” 扮演者 傅明宪 联袂 出现 ， 时常 亮相 公益活动 。,人物关系/亲属关系/配偶/丈夫/前夫
张子萱,杨一柳,而 27 日 ， 张子萱 才 在 微博 承认 与 陈赫 的 恋情 ， 并 晒 出 与 老公 杨一柳 正在 办理 离婚 的 截图 。,人物关系/亲属关系/配偶/丈夫/前夫
许婧,陈赫,2015 年 1 月 27 日晚 23 : 24 ， 陈赫 微博 发布 与 前妻 许婧 的 离婚 协议 。,人物关系/亲属关系/配偶/丈夫/前夫
刘梅,胡一统,最后 刘梅 才 知道 杨欣 一直 说 的 那个 人 就是 胡一统 。,人物关系/亲属关系/配偶/丈夫/前夫
刘梅,胡一统,（ 电视剧 《 家有 儿女 》 系列 人物 ） : 情景喜剧 《 家有 儿女 》 和 《 家有 儿女 初长成 》 中 的 人物 ， 胡一统 与 刘梅 的 儿子 。,人物关系/亲属关系/配偶/丈夫/前夫
金友庄,高凌风,高凌风 与 前妻 生 的 女儿 们 都 在 国外 长大 ， 金友庄 坦言 先生 财力 不如 以往 ， 选择 让 小孩 接受 国民教育 未尝不可 。,人物关系/亲属关系/配偶/丈夫/前夫
张洁,周立波,张洁 张洁 称 自己 生病 住院 ， 周立波 鲜少 过来 探望 ， 探病 时间 不过 五分钟 。,人物关系/亲属关系/配偶/丈夫/前夫
许婧,陈赫,许婧 ， 模特 ， 演员 陈赫 的 前妻 。,人物关系/亲属关系/配偶/丈夫/前夫
尤三姐,柳湘莲,贾琏 将 鸳鸯 剑 带回 ， 并 告知 此事 ， 尤三姐 从此 日夜 盼望着 柳湘莲 的 到来 。,人物关系/亲属关系/配偶/丈夫/未婚夫
查美乐,韩以烈,韩以烈 作品简介 : 《 爱上 查美乐 》 为 两岸 合拍 偶像剧 ， 改编自 台湾 言情小说 《 王 的 恋歌 》 。,人物关系/亲属关系/配偶/丈夫/未婚夫
唐悠悠,关谷神奇,1 歌曲 简介 : 演唱 ： 关谷神奇 （ 王传君 饰 ） 、 唐悠悠 （ 邓家佳饰 ）,人物关系/亲属关系/配偶/丈夫/未婚夫
尤三姐,柳湘莲,柳湘莲 和 尤三姐 的 悲剧 ， 有 社会 环境 、 社会 心理 的 原因 。,人物关系/亲属关系/配偶/丈夫/未婚夫
尤三姐,柳湘莲,柳湘莲 把 自己 祖传 的 宝剑 托 贾琏 带回 给 尤三姐 。,人物关系/亲属关系/配偶/丈夫/未婚夫
左蓝,余则成,余则成 发现 中共 派来 的 军调 人员 中 竟然 有 左蓝 。,人物关系/亲属关系/配偶/丈夫/未婚夫
顾倩兮,卢云,而 卢云 走 了 十年 ， 顾倩兮 才 真正 明白 卢云 的 道 ， 然后 她 不 等 了 。,人物关系/亲属关系/配偶/丈夫/未婚夫
涂山苏苏,白月初,喜欢 胡尾生 ， 在 白月初 和 涂山苏苏 的 努力 下 二人 终成眷属 。,人物关系/亲属关系/配偶/丈夫/未婚夫
严英云,徐良,后来 ， 严英云 被 徐良 的 人格魅力 所 折服 ， 就 答应 嫁给 徐良 了 。,人物关系/亲属关系/配偶/丈夫/未婚夫
纪晓芙,殷梨亭,萧大陆 版 殷梨亭 在 这个 过程 中 ， 殷梨亭 之 于 杨不悔 的 感情 也 是 变化 的 ： 一 开始 将 之 看成 纪晓芙 的 替代 ， 但 渐渐 的 杨不悔 就是 杨不悔 了 。,人物关系/亲属关系/配偶/丈夫/未婚夫
严英云,徐良,而 徐良 正 全力 与 莲花 门 门人 血战 ， 严英云 因此 卷入 了 这场 武林 争斗 。,人物关系/亲属关系/配偶/丈夫/未婚夫
纪晓芙,殷梨亭,再 想想 纪晓芙 和 殷梨亭 几乎 是 没有 任何 私下 的 接触 的 （ 虽然 有 婚约 ） ， 纪晓芙 会 和 大家 配合默契 吗 ？,人物关系/亲属关系/配偶/丈夫/未婚夫
刘备,孙尚香,1 歌曲 信息 : 电视剧 《 三国演义 》 （ 1995 年版 ） 插曲 ， 出现 在 第 43 集 刘备 与 孙尚香 的 婚礼 上 。,人物关系/亲属关系/配偶/妻子/现妻
廖仲恺,何香凝,时济 夫妇 因 工作 之 便 ， 与 孙夫人 宋庆龄 以及 廖仲恺 、 何香凝 等 过从甚密 。,人物关系/亲属关系/配偶/妻子/现妻
刘德华,朱丽倩,为 确保 大小 平安 ， 刘德华 于是 安排 朱丽倩 入住 北京 房子 ， 每日 由 助手 、 保镖 及 司机 一行 人 护送 妻子 到 场馆 。,人物关系/亲属关系/配偶/妻子/现妻
周端明,蔡敏,21 、 周端明 、 蔡敏 ： 政府 治理 能力 与 转轨 绩效 ： 中 俄 比较 分析 ， 《 当代 经济 研究 》 2009 年 第 4 期 （ CSSCI ） ；,人物关系/亲属关系/配偶/妻子/现妻
顾长卫,蒋雯丽,还 在 顾长卫 执导 的 电影 《 立春 》 中 演唱 女主角 蒋雯丽 的 全部 唱段 。,人物关系/亲属关系/配偶/妻子/现妻
霍启刚,郭晶晶,霍启刚 郭晶晶 发 电子 请柬 报喜 “ 我们 要 结婚 了 ”,人物关系/亲属关系/配偶/妻子/现妻
杨威,杨云,奥运冠军 杨威 杨云 夫妇 ( 入住 时间 ： 2009 年 11 月 10 日 - 2009 年 12 月 18 日 ),人物关系/亲属关系/配偶/妻子/现妻
杨威,杨云,杨威 比 杨云 大 四岁 ， “ 我 发脾气 ， 他 不 生气 ， 还 哄 着 我 ； 我 闹着玩 打 他 ， 他 也 从不 还手 ， 那时 我 就 觉得 特别 温暖 。 ”,人物关系/亲属关系/配偶/妻子/现妻
冯小刚,徐帆,1999 年 ， 徐帆 与 导演 冯小刚 结婚 。,人物关系/亲属关系/配偶/妻子/现妻
蒋介石,宋美龄,但是 ， 阴云密布 的 天空 突然 转晴 ， 25 日 ， 西安事变 和平解决 ， 蒋介石 、 宋美龄 乘专机 飞抵 洛阳 。,人物关系/亲属关系/配偶/妻子/现妻
赵宏博,申雪,比如 申雪 和 赵宏博 出征 都灵 冬奥会 的 比赛服 设计 ， 就是 突发 灵感 而来 的 。,人物关系/亲属关系/配偶/妻子/现妻
印乔镇,苏怡贤,2014 年 10 月 4 日 ， 印乔镇 与 苏怡贤 在 首尔 驿 三洞 TheRaum 会 所 举行 婚礼 。,人物关系/亲属关系/配偶/妻子/现妻
朱芳雨,胡美,胡美 在 个人 微博上 证实 了 离婚 的 消息 ， 并 暗示 朱芳雨 有 外遇 ， 曾经 原谅 但 最终 还是 以 离婚 结局 。,人物关系/亲属关系/配偶/妻子/前妻
胡金铨,钟玲,兴奋 得 如 中 头彩 ， 但 一时之间 胡金铨 说 也 说不清楚 ， 总之 是 堕入 爱河 了 ， 对象 是 女博士 钟玲 。,人物关系/亲属关系/配偶/妻子/前妻
姜凯,黄奕,2009 年 9 月 26 日 下午 ， 黄奕 和 姜凯 出现 在 意大利 举行 的 米兰 时装周 之 Gucci 春夏 时装秀 上 。,人物关系/亲属关系/配偶/妻子/前妻
朱芳雨,胡美,据 了解 ， 胡美 和 朱芳雨 2013 年 5 月 已经 结束 了 婚姻关系 ， 近来 不断 有 朋友 为 胡美 打抱不平 ， 谈到 她 与 朱芳雨 的 关系 。,人物关系/亲属关系/配偶/妻子/前妻
霍震霆,朱玲玲,霍震霆 当上 亚奥 理事会 委员 后 ， 更 忙碌 了 ， 三天两头 不 在家 ， 朱玲玲 更加 觉得 寂寞 和 无聊 。,人物关系/亲属关系/配偶/妻子/前妻
黄志忠,何音,09.07 . 23 黄志忠 何音 的 幸福生活 .,人物关系/亲属关系/配偶/妻子/前妻
许晋亨,何超琼,蓝琼璎 人物 关系 : 蓝琼璎 当年 曾以 2000 万港元 为 女儿 何超琼 办 “ 世纪 婚宴 ” 轰动 全港 ， 可 结婚 9 年 后 ， 何超琼 和 许晋亨 离了婚 。,人物关系/亲属关系/配偶/妻子/前妻
黄志忠,何音,（ 导演 ： 潘军 合作 演员 ： 杨立新 、 黄志忠 、 何音 ）,人物关系/亲属关系/配偶/妻子/前妻
黄毅清,黄奕,文中 黄毅清 不愿 直呼 黄奕 姓名 ， 只以 “ 这位 母亲 ” 代指 ， “ 希望 这位 母亲 能 跟 女儿 好好 相处 ， 好好 对 她 !,人物关系/亲属关系/配偶/妻子/前妻
朱芳雨,胡美,2009 年 12 月 15 日 ， 朱芳雨 与 胡 美的 爱情 结晶 降生 ， 不到 一年 后 ， 胡美 在 香港 又 产下 一 子 ， 朱芳雨 成为 了 两个 孩子 的 父亲 。,人物关系/亲属关系/配偶/妻子/前妻
莫绍谦,慕咏飞,"终于 , 莫绍谦 发现 当年 莫家 危难 是 慕咏飞 一手 策划 , 反击 慕家 , 并 放手 童雪 。",人物关系/亲属关系/配偶/妻子/前妻
邵昕,黄玉婷,5 月份 邵昕 和 黄玉婷 离婚 后 ， 孩子 归 婷婷 ， 但 没 拿 赡养费 。,人物关系/亲属关系/配偶/妻子/前妻
祝彪,扈三娘,扈三娘 想以 王英 换回 密图 ； 杨洪 却 试图 以图 换钱 ， 远走高飞 ； 祝彪 不惜 血本 ， 志在必得 ， 甚至 在 扈三娘 被 扣作 人质 的 时候 也 不为所动 。,人物关系/亲属关系/配偶/妻子/未婚妻
赵无忌,卫凤娘,白玉雕 龙 人物 : 白玉雕 龙 作者 : 古龙 白玉雕 龙 主要 人物 : 赵无忌 白玉雕 龙凤 佩 白玉雕 龙 次要 人物 : 卫凤娘 ： 赵无忌 的 妻子,人物关系/亲属关系/配偶/妻子/未婚妻
祝彪,扈三娘,灵堂 之上 ， 扈三娘 剥茧抽丝 ， 追查 真相 ， 在 王英 等 人 的 帮助 下 ， 终于 揭穿 祝彪 杀人 焚庄 的 罪行 。,人物关系/亲属关系/配偶/妻子/未婚妻
祝彪,扈三娘,扈三娘 手刃 祝彪 ， 与 王英 同 上 梁山 。,人物关系/亲属关系/配偶/妻子/未婚妻
祝彪,扈三娘,祝彪 虽然 喜欢 扈三娘 ， 但 执迷 卜卦 之术 的 祝彪 发现 扈三娘 腰间 有 痣 ， 认为 双方 不宜 有 姻缘 。,人物关系/亲属关系/配偶/妻子/未婚妻
祝彪,扈三娘,扈三娘 在 接下来 发生 的 事情 里 ， 终于 看清 了 祝彪 的 险恶用心 。,人物关系/亲属关系/配偶/妻子/未婚妻
祝彪,扈三娘,为 保全 自家 性命 ， 扈 庄主 将 自己 的 宝贝女儿 扈三娘 许配给 了 祝彪 ， 希望 通过 联姻 联盟 以 自保 。,人物关系/亲属关系/配偶/妻子/未婚妻
金蛇郎君,温仪,袁承志 和 安剑清 展开 对决 ， 袁承志 不慎 落崖 ， 得 金蛇郎君 夏雪宜 的 武功 秘笈 ， 并 遵 遗嘱 前往 衢州 石梁 寻找 女子 温仪 。,人物关系/亲属关系/配偶/妻子/未婚妻
祝彪,扈三娘,# 建议 将 顾大嫂 、 祝彪 、 扈三娘 三人 培养 一段时间 再 做 这个 任务 ， 你 将 会 稍微 轻松 一些,人物关系/亲属关系/配偶/妻子/未婚妻
水若寒,陆剑萍,十八年 后 ， 陆鼎 文之女 陆剑萍 ， 借 师傅 武妈 之手 打退 恶少 ， 救得 扮成 书生 的 东厂 杀手 水若寒 ， 与 路过 的 小 和尚 释小龙 、 释小福 。,人物关系/亲属关系/配偶/妻子/未婚妻
金蛇郎君,温仪,袁承志 花费 数日 ， 学成 武艺 ， 便 遵 遗嘱 ， 帮助 金蛇郎君 去 寻 温仪 。,人物关系/亲属关系/配偶/妻子/未婚妻
赵无忌,卫凤娘,2 人物 : 作者 : 古龙 主要 人物 : 赵无忌 白玉雕 龙凤 佩 次要 人物 : 卫凤娘 ： 赵无忌 的 妻子,人物关系/亲属关系/配偶/妻子/未婚妻
薛谭,秦青,汤问 》 载 ， 歌者 秦青 相 送 薛谭 ， “ 饯于 郊衢 ， 抚节 悲歌 ， 声振林木 ， 响遏行云 ” 。,人物关系/师生关系/老师
赵海燕,赵本山,（ 2013 年 赵本山 ， 宋小宝 ， 赵海燕 主演 小品 ） : 《 有钱 了 》 是 赵本山 在 江苏 卫视 的 收山之作 ， 广受 好评 。,人物关系/师生关系/老师
颜回,孔子,颜路 个人信息 : 颜回 早逝 ， 颜无繇 因 家里 穷 ， 就 请求 孔子 把 车子 卖 了 来 帮 他 安葬 。,人物关系/师生关系/老师
颜回,孔子,孔子 说 ； “ 只有 颜回 最好 学 。,人物关系/师生关系/老师
仲由,孔子,城 西北 为 孔子 弟子 仲由 的 故里 — — 仲村 ， 今为 仲 村镇 驻地 。,人物关系/师生关系/老师
南宫敬叔,孔子,23 岁 时 跟随 老师 孔子 及 同学 南宫敬叔 、 仲由 等 人 ， 周游列国 ， 考察 周 社会 的 吏制 和 道德规范 。,人物关系/师生关系/老师
樊迟,孔子,“ 帆迟 ” 谐 “ 樊迟 ” ， 孔子 弟子 ； “ 帆快 ” 谐 “ 樊哙 ” ， 汉初 大将 ； “ 橹 直 ” 谐 “ 鲁直 ” ， 宋 黄庭坚 字 ； “ 橹 扳 ” 谐 “ 鲁班 ” ， 古代 巧匠,人物关系/师生关系/老师
姜子牙,元始天尊,封神 诀 - 仙界 大战 : 讲述 商周 朝代 更替 之战 . 姜子牙 代 元始天尊 执掌 封神榜 ， 兴周灭 纣 ， 一统 天 、 地 、 人 三界 ， 成就 封神 大业 ！,人物关系/师生关系/老师
韩非,荀子,荀子 、 李斯 和 韩非,人物关系/师生关系/老师
梅超风,黄药师,黄药师 出现 救 了 梅超风 ， 黄蓉 离开 。,人物关系/师生关系/老师
陈靖仇,陈辅,陈辅 不得不 将 这 一切 的 心愿 ， 寄托 在 陈靖仇 的 身上 。,人物关系/师生关系/老师
石中玉,封万里,师父 白自在 虽 察觉 二人 情愫 ， 但 只是 微笑 ， 并未 表态 为 二人 做主 ， 此后 又 因 封万里 要 教导 石中玉 等 一系列 事情 ， 两人 的 感情 一直 搁置 。,人物关系/师生关系/老师
仲由,孔子,孝 的 故事 百里 负米 : 仲由 ， 字 子路 、 季路 ， 春秋时期 鲁国 人 ， 孔子 的 得意 弟子 ， 性格 直率 勇敢 ， 十分 孝顺 。,人物关系/师生关系/老师
仲由,孔子,孔子 认为 ， 正是 因为 仲由 做到 了 这些 ， 才 使得 “ 民 尽力 ” 、 “ 民不偷 ” 、 “ 民不扰 ” ， 而 国家 富强 ， 这 显然 是 对 仲由 政绩 的 极 高 评价 。,人物关系/师生关系/老师
颜回,孔子,2009 年 任泉 在 电影 《 孔子 》 里 饰演 颜回 、 在 电视剧 《 神话 》 里 饰演 易大川 ， 再次 赢得 观众 的 喜爱 。,人物关系/师生关系/老师
卓凤鸣,吕洞宾,地位 职位 ： 吕洞宾 弟子 ， 负责 教习 观内 低级 弟子 的 武功 剑 三 纯阳 门派 五 子 之一 卓凤鸣,人物关系/师生关系/老师
刘伟,马季,《 送别 》 表演者 ： 刘伟 、 马季,人物关系/师生关系/老师
陆启铿,华罗庚,此外 ， 万哲元 、 陆启铿 、 王元 、 潘承洞 、 段学复 等 人 也 是 在 华罗庚 的 悉心 培育 下 成长 起来 的 。,人物关系/师生关系/老师
岳云鹏,郭德纲,舞台 反串 角色 的 岳云鹏 岳云鹏 演艺 经历 : 2004 年 ， 岳云鹏 在 打工 的 饭店 碰见 了 去 吃饭 的 郭德纲 ， 随后 开始 了 他 的 相声 演艺 生涯 。,人物关系/师生关系/老师
张翠山,张三丰,武当掌 门 张翠山 内容梗概 : 刚刚 穿越 成为 武当 张三丰 弟子 ， 张翠山 的 愿望 很 简单 ： 让 武当 力压 江湖 诸派 ， 成为 华夏 武林 圣地 ！,人物关系/师生关系/老师
颜回,孔子,出自 《 孔子 家语 · 颜回 》 。,人物关系/师生关系/老师
颜回,孔子,南北朝 北齐 时 ， 各地 始建 孔颜庙 ， 奉祀 孔子 和 颜回 。,人物关系/师生关系/老师
仲由,孔子,孔子 说 : 仲由 呀 ！,人物关系/师生关系/老师
诸葛流云,燕赤霞,最后 三代 宗主 分别 是 燕赤霞 、 金光 、 诸葛流云 。,人物关系/师生关系/老师
洪凌波,李莫愁,李莫愁 把 洪凌波 当作 垫脚石 ， 摔 在 情 花丛 中 ， 借力 跃出 情 花丛 外 。,人物关系/师生关系/老师
仲由,孔子,等到 读 了 《 史 》 ， 才 看到 孔子 被 围困 在 陈国和 蔡国 之间 ， 而 弹琴 唱歌 的 声音 没有 断绝 ， 并 与 颜渊 、 仲由 等 学生 互相 问答 。,人物关系/师生关系/老师
南宫敬叔,孔子,为阅 周公之 典 ， 访 元圣 之迹 ， 孔子 于 周景王 年间 ， 携 弟子 南宫敬叔 入周 问礼于 老聃 ， 问 乐于 苌 弘 。,人物关系/师生关系/老师
颜回,孔子,【 译文 】 孔子 说 ： “ 听 我 说话 而能 毫不 懈怠 的 ， 只有 颜回 一个 人 吧 ！ ”,人物关系/师生关系/老师
