尤二姐,贾琏,此事 终 被 凤姐 探知 ， 她 乘 贾琏 外出 机会 ， 把 尤二姐 赚入 大观园 ， 再用 各种 毒辣 办法 孤立 和 摧残 尤二姐 。,人物关系/亲属关系/配偶/丈夫/现夫
范文芳,李铭顺,《 白蛇 新传 》 为 新加坡 新 传媒 与 台湾 联合 于 2001 年 制作 的 大型 古装 神话剧 ， 由 范文芳 、 李铭顺 、 焦恩俊 、 张玉嬿 等 主演 。,人物关系/亲属关系/配偶/丈夫/现夫
孙尚香,刘备,3 . 三国 杀 online 武将 秀 刘备 或 孙尚香 ！,人物关系/亲属关系/配偶/丈夫/现夫
朱七七,沈浪,相对 于 朱七七 ， 白飞飞 是 个 “ 假 ” 人 ， 她 甚至 比 沈浪 深沉 。,人物关系/亲属关系/配偶/丈夫/现夫
宋霭龄,孔祥熙,一 、 大姐 宋霭龄 嫁 与 孔祥熙,人物关系/亲属关系/配偶/丈夫/现夫
班淑娴,何太冲,班淑娴 是 昆仑 派 中 的 杰出人物 ， 年纪 比 何太冲 大 了 两岁 ， 入门 较 他 早 ， 武功 修为 亦 不 在 他 手下 。,人物关系/亲属关系/配偶/丈夫/现夫
侯佩岑,黄伯俊,2009 年 1 月 1 日 ， 侯佩岑 与 未婚夫 黄伯俊 依照 家中 长辈 心愿 ， 在 家中 以 传统 仪式 交换 戒指 ， 并 在 “ 喜悦 、 平静 ” 气氛 下 完成 订婚 。,人物关系/亲属关系/配偶/丈夫/现夫
潘金莲,武大郎,嫁个 武大郎 难保 不成 潘金莲,人物关系/亲属关系/配偶/丈夫/现夫
叶莉,姚明,姚沁蕾 个人 情况 : 姚沁蕾 介绍 : 姚沁蕾 ， 英文名 Amy （ 艾米 ） ， 女 ， 篮球 运动员 姚明 与 叶莉 的 女儿 。,人物关系/亲属关系/配偶/丈夫/现夫
朱七七,沈浪,沈浪 在 流浪 江湖 时 被 美丽 可爱 、 敢爱敢恨 的 朱七七 所救 ， 两人 展开 一段 纠缠不清 的 爱情 ， 因 性格 经历 悬殊 ， 感情 多有 波折 。,人物关系/亲属关系/配偶/丈夫/现夫
孙尚香,刘备,《 洞房 》 孙尚香 — — 李维康 、 刘备 — — 耿其昌 、 赵云 — — 王立军,人物关系/亲属关系/配偶/丈夫/现夫
孙尚香,刘备,刘备 ： 【 真 黄龙 剑 】 战场 ： 【 夷陵 之战 ： 蜀军 】 条件 ： 由 玩家 （ 刘备 ） 击倒 孙尚香 、 甘宁 、 凌统 、 陆逊 。,人物关系/亲属关系/配偶/丈夫/现夫
宁无双,李翰,邗沟 案时 ， 他 受 好友 李翰 生前 之 托付 ， 前 赴 洛阳 李翰 家中 寻找 李夫人 宁无双 ， 并 取回 一封 密信 。,人物关系/亲属关系/配偶/丈夫/现夫
程瑶迦,陆冠英,第二十九章 陆冠英 程瑶迦 藏 宝剑,人物关系/亲属关系/配偶/丈夫/现夫
熊美玲,林秋离,No.293 抱紧 一点 林秋离 熊美玲 堂娜,人物关系/亲属关系/配偶/丈夫/现夫
樊姬,楚庄王,王妃 樊姬 异常 焦虑 ， 规劝 楚庄王 说 ： “ 君王 ， 您 过于 沉沦 在 音乐 中 了 ！,人物关系/亲属关系/配偶/丈夫/现夫
路青,艾未未,玉器 不是 奢侈品 艾未未 、 路青 的 古玉藏识 老吉,人物关系/亲属关系/配偶/丈夫/现夫
宁无双,李翰,宗主 得知 了 那 封 事关 众 贪官 们 生死 的 密信 竟然 被 送回 洛阳 ， 落到 了 李翰 之妻 宁无双 的 手中 ！,人物关系/亲属关系/配偶/丈夫/现夫
杨绛,钱钟书,钱钟书 与 杨绛 ： 守住 一座 书城,人物关系/亲属关系/配偶/丈夫/现夫
武顺,贺兰越石,武顺 初嫁 贺兰越石 ， 育有 一子 贺兰敏之 ， 一女 贺兰 氏 。,人物关系/亲属关系/配偶/丈夫/现夫
闵柔,石清,贝海石 命令 鬼祟 “ 没有 我 的 命令 谁 也 不能 见 石清 闵柔 夫妻 你们 俩个 要 严加防范 石清 闵柔 夫妻 决不能 放走 石清 闵柔 夫妻 明白 吗 。 ”,人物关系/亲属关系/配偶/丈夫/现夫
秦香莲,陈世美,〈 〈 秦香莲 〉 〉 剧目 中 的 陈世美 生行 : 又称 小生 ， 主要 扮演 青 、 壮年 男子 角色 ， 用 男声 假 嗓 唱念 ， 身段 稳重 大方 ， 动作 文雅 潇洒 。,人物关系/亲属关系/配偶/丈夫/现夫
彭丽媛,习近平,彭丽媛 一身 黑 双排 扣 风衣 配合 习近平 的 造型 ， 深色 的 整身 造型 用 丝巾 点亮 ， 简约 而 典雅 。,人物关系/亲属关系/配偶/丈夫/现夫
樊梨花,薛丁山,《 杨丽花 终极 大战 - 薛丁山 与 樊梨花 》 饰 樊梨花 陈亚兰 参演 电影 : 陈亚兰 参演 电视剧 : 陈亚兰 节目主持 : 《 宝岛 曼波 》 万秀猪 王,人物关系/亲属关系/配偶/丈夫/现夫
王茜,徐庆东,生命 的 天空 歌曲 信息 : 作词 ： 徐庆东 王茜,人物关系/亲属关系/配偶/丈夫/现夫
许夫人,许汉青,许汉青 和 其 夫人 [ 许夫人 ] 开始 散尽 万贯家财 ， 招募 许姓族 丁 ， 组织 义军 ， 加紧 操练 ， 准备 抗元 。,人物关系/亲属关系/配偶/丈夫/现夫
班淑娴,何太冲,何太冲 和 班淑娴 对望一眼 ， 两人 双剑齐 出 ， 分别 指住 了 杨逍 咽喉 和 眉心 。,人物关系/亲属关系/配偶/丈夫/现夫
熊美玲,林秋离,No.23 天 若有情 （ 台语 ） 林秋离 熊美玲 江蕙,人物关系/亲属关系/配偶/丈夫/现夫
马小玲,况天佑,况天佑 僵尸 三 : 于 第三部 中 ， 来到 盘古 之地 的 马小玲 和 况天佑 适逢 瑶池 圣母 冲破 封印 ， 使 天佑 身受 红雪 风暴 病毒 之苦 。,人物关系/亲属关系/配偶/丈夫/现夫
邢夫人,贾赦,即 贾赦 之妻 邢夫人 。,人物关系/亲属关系/配偶/丈夫/现夫
乐颜,宁致远,惠子 ， 安逸尘 ， 宁致远 三人 计划 在 乐颜 出嫁 当天 假扮 魔王 劫走 乐颜 ， 而 惠子和 安逸尘 却 催眠 宁佩珊 ， 给 文府 送 去 匿名信 戳穿 计划 。,人物关系/亲属关系/配偶/丈夫/现夫
吴健雄,袁家骝,苏州 健雄 职业 技术 学院 的 申办 得到 了 吴健雄 博士 的 丈夫 ， 著名 物理学家 袁家骝 博士 （ 1912 - 2003 ） 生前 的 亲切 关怀 和 指导 。,人物关系/亲属关系/配偶/丈夫/现夫
周翠英,郑裕彤,三年 后 ， 在 周至元 的 主持 下 ， 郑裕彤 果真 与 周家 的 掌上明珠 周翠英 结为 连理 。,人物关系/亲属关系/配偶/丈夫/现夫
刘梅,夏东海,夏东海 和 刘梅 的 结婚 纪念日 就要 到 了 ， 准备 庆祝 的 时候 ， 他们 都 意外 地 发现 了 别人 写给 对方 的 情书 ， 于是 他们 的 误会 逐渐 升级 … …,人物关系/亲属关系/配偶/丈夫/现夫
吴健雄,袁家骝,第三天 ， 卢鹤绂 院士 在 上海 锦江 饭店 11 楼 主持 袁家骝 、 吴健雄 夫妇 座谈会 。,人物关系/亲属关系/配偶/丈夫/现夫
慕容秋荻,谢晓峰,丁 小弟 终于 有 了 出人头地 的 机会 ， 但 他 并不知道 这些 都 是 生身父母 谢晓峰 和 慕容秋荻 的 刻意 安排 。,人物关系/亲属关系/配偶/丈夫/现夫
李秀文,叶挺,李秀文 当然 满心欢喜 ， 她 对 叶挺 已 是 以心 相许 ， 但 她 提出 还要 征求 父母 的 意见 才能 最后 决定 。,人物关系/亲属关系/配偶/丈夫/现夫
鲁元公主,张敖,汉 安陵 安陵 陪葬 墓 : 安陵 陪葬 者 见诸 文献 记载 的 有 鲁元公主 、 张敖 、 陈平 、 张苍 、 袁盎 、 扬雄 等 。,人物关系/亲属关系/配偶/丈夫/现夫
岳灵珊,林平之,第二层 ， 林平之 其实 也 是 为了 保住 岳灵珊 的 清白 。,人物关系/亲属关系/配偶/丈夫/现夫
赵姨娘,贾政,枫露 茶 事后 贾宝玉 要 撵 茜 雪 赵姨娘 趁势 回 了 贾政 调 了 过来 ， 当时 应是 二等 丫鬟 （ 后 贾环 大 了 也 有 使用 大 丫鬟 资格 后 才 升为 一等 ） 。,人物关系/亲属关系/配偶/丈夫/现夫
樊姬,楚庄王,⑨ 、 樊姬 ： 楚庄王 夫人 。,人物关系/亲属关系/配偶/丈夫/现夫
柳摇金,韩翃,47 ． 柳摇金 与 韩翃 — — 金童玉女 感 天地,人物关系/亲属关系/配偶/丈夫/现夫
施南生,徐克,2014 年 7 月 3 日 施南生 在 接受 采访 时 ， 坦言 已经 与 导演 徐克 离婚 。,人物关系/亲属关系/配偶/丈夫/前夫
施南生,徐克,「 浪漫 演义 电影 工作室 创意 非凡 廿五年 」 特刊 收录 了 徐克 、 施南生 、 吴宇森 、 张叔平 、 林青霞 、 张艾嘉 等 二十三 篇 详尽 访问 。,人物关系/亲属关系/配偶/丈夫/前夫
张子萱,杨一柳,后来 杨一柳 出版 第一本 小说 请来 张子萱 做 模特 ， 两人 就此 开始 相恋 。,人物关系/亲属关系/配偶/丈夫/前夫
施南生,徐克,1984 年 ， 徐克 夫妇 成立 电影 工作室 ， 徐克 负责 做 导演 拍戏 ， 施南生 负责 拍电影 以外 的 融资 、 发行 、 宣传 等 。,人物关系/亲属关系/配偶/丈夫/前夫
江欣燕,吴积逊,1991 年 江欣燕 认识 了 她 的 丈夫 吴积逊 ， 两人 相恋 一年 后 即 订婚 并 开始 同居 生活 。,人物关系/亲属关系/配偶/丈夫/前夫
文馨,林多俊,糖糖 最 喜欢 她 的 爸爸 林多俊 ， 文馨 一直 想 让 糖糖 认 陈笑飞 是 她 爸爸 ， 但 糖糖 通常 都 坚持 认为 林多俊 是 她 爸爸 ， 并 反感 文馨 。,人物关系/亲属关系/配偶/丈夫/前夫
文馨,林多俊,而 文馨 因为 谎言 而 得来 的 幸福 并 不 牢靠 ， 在 婚后 被 林多俊 发现 真相 并 产生 质疑 ， 陷入 信任危机 。,人物关系/亲属关系/配偶/丈夫/前夫
韦尼子,王玄应,而 韦匡伯 墓志 称其 长女 嫁给 了 王世充 太子 王玄应 ， 故 王玄应 是 韦尼子 的 第一任 丈夫 。,人物关系/亲属关系/配偶/丈夫/前夫
金友庄,高凌风,在 2012 年 3 月 21 日 金友庄 在 短信 透露 ： “ 我 与 高凌风 先生 早 在 去年 即 协议 离婚 ， 并且 已经 完成 登记 。,人物关系/亲属关系/配偶/丈夫/前夫
张洁,周立波,除了 称 周立波 “ 为 傍 富婆 抛妻 弃子 ” 、 “ 包养 周立波 的 是 温州 富婆 ” 以外 ， 这个 自称 “ 张洁 ” 的 博主 还 撰文 称 ， 周立波 吸毒 ！,人物关系/亲属关系/配偶/丈夫/前夫
张子萱,杨一柳,杨一柳 和 张子萱 两人 结合 堪称 才子佳人 的 绝配 ， 夫妻俩 曾 合作 电影 《 我 叫 郝 聪明 》 ， 张子萱 是 女主角 ， 而 杨一柳 则 是 制片人 。,人物关系/亲属关系/配偶/丈夫/前夫
张洁,周立波,周立波 ： 张洁 ， 包括 她 妹妹 ， 都 是 从来 没有 工作 的 人 ， 都 是 我 在 养 她们 … …,人物关系/亲属关系/配偶/丈夫/前夫
江珊,高曙光,高曙光 个人 生活 : 1995 年 ， 在 拍摄 《 我 想 有 个 家 》 时 ， 高曙光 与 江珊 相恋 ， 并 在 结束 这部 电视剧 的 拍摄 时 结婚 。,人物关系/亲属关系/配偶/丈夫/前夫
金友庄,高凌风,2011 年 10 月 12 日 金友庄 传出 已 和 高凌风 在 日前 确定 协议 离婚 。,人物关系/亲属关系/配偶/丈夫/前夫
江清霞,施正杰,这 一集 江清霞 去 找 施正杰 要说 什么 话 的 一断 也 没放 ！,人物关系/亲属关系/配偶/丈夫/前夫
江欣燕,吴积逊,吴积逊 人物 介绍 : 江欣燕 与 吴积逊 结束 九年 爱情长跑 ， 2001 年 7 月 4 日 双双 步入 教 教堂 ， 踏进 人生 另 一个 阶段 。,人物关系/亲属关系/配偶/丈夫/前夫
梁静慈,甄子丹,不过 ， 对于 甄子丹 前妻 梁静慈 ， 很多 网友 表示 很 陌生 ， 甚至 不 知道 梁静慈 就是 甄子丹 的 前妻 。,人物关系/亲属关系/配偶/丈夫/前夫
张洁,周立波,今天上午 10 时 30 分许 ， 博主 “ 张洁 ” 连续 发布 两篇 博文 ， 称 “ 我们 没有 离婚 ” 、 “ 我 要告 周立波 重婚 ” 。,人物关系/亲属关系/配偶/丈夫/前夫
傅明宪,叶剑波,2008 年 傅明宪 宣布 与 叶剑波 离婚 。,人物关系/亲属关系/配偶/丈夫/前夫
张子萱,杨一柳,而 张子萱 则 于 1 月 27 日 通过 微博 承认 了 自己 与 陈赫 的 关系 ， 并称 已 向 丈夫 杨一柳 提出 离婚 诉讼 。,人物关系/亲属关系/配偶/丈夫/前夫
张洁,周立波,从 7 月 5 日起 ， 网上 出现 一个 名为 “ 周立波 太太 张洁 的 博客 ” ， 不断 以 “ 周 太太 ” 的 名义 爆出 周立波 的 “ 前尘 旧事 ” ，,人物关系/亲属关系/配偶/丈夫/前夫
江珊,高曙光,《 真 爱 无敌 》 是 由 高曙光 、 江珊 、 张延 主演 的 电视剧 。,人物关系/亲属关系/配偶/丈夫/前夫
江珊,高曙光,《 原则 》 （ 饰 ： 刘中 ） （ 刑警队 中队长 ） （ 合作 演员 ： 陈宝国 高曙光 江珊 ）,人物关系/亲属关系/配偶/丈夫/前夫
傅明宪,叶剑波,叶剑波 和 第二任 妻子 前 香港 TVB 女星 、 《 神雕侠侣 》 郭 芙 扮演者 傅明宪,人物关系/亲属关系/配偶/丈夫/前夫
施南生,徐克,徐克 感情生活 : 1978 年 徐克 与 施南生 相识 ， 1996 年 在 美国 举行 婚礼 。,人物关系/亲属关系/配偶/丈夫/前夫
何超琼,许晋亨,后来 以小三 姿态 插足 许晋亨 与 何超琼 。,人物关系/亲属关系/配偶/丈夫/前夫
傅明宪,叶剑波,叶剑波 更频 现港媒 的 娱乐 版面 ， 和 其妻 － － － 前 香港 TVB 女星 、 《 神雕侠侣 》 “ 郭 芙 ” 扮演者 傅明宪 联袂 出现 ， 时常 亮相 公益活动 。,人物关系/亲属关系/配偶/丈夫/前夫
许婧,陈赫,9 月 16 日 七点 左右 ， 陈赫 和 许婧 出现 在 上海浦东 机场 准备 启程 到 泰国 普吉岛 筹备 自己 的 梦幻 海滩 婚礼 。,人物关系/亲属关系/配偶/丈夫/前夫
施南生,徐克,针对 此事 ， 徐克 在 2008 年 11 月 27 日 接受 《 艺术人生 》 栏目 访问 时 表示 ， 除了 父母 之外 ， 施南生 是 她 生命 中 最 重要 的 人 。,人物关系/亲属关系/配偶/丈夫/前夫
施南生,徐克,【 策划 】 ： 徐克 施南生,人物关系/亲属关系/配偶/丈夫/前夫
丁英,李双江,李双江 被 媒体 曝出 还 曾 经历 过 一段 婚姻 ， 丁英 也 因此 首 曝光 。,人物关系/亲属关系/配偶/丈夫/前夫
韦尼子,王玄应,自皇 郑膺籙 ， 历选 徳门 ， 作配 储后 （ 王玄应 ） ， 聘公 长女 （ 韦尼子 ） 为 太子妃 ， 乃下 诏 曰 : 公门 著嘉庸 ， 可赠 大将军 ， 谥 曰 懿 公 。,人物关系/亲属关系/配偶/丈夫/前夫
金友庄,高凌风,高凌风 、 金友庄,人物关系/亲属关系/配偶/丈夫/前夫
张洁,周立波,张洁 博客 事件 : 2009 年 7 月 5 日 ， 周立波 的 前妻 张洁 在 网上 大 揭其 “ 前尘 旧事 ” ， 并 声称 周立波 被 温州 富婆 包养 。,人物关系/亲属关系/配偶/丈夫/前夫
丁英,李双江,丁英 ， 舞蹈演员 ， 李双江 前妻 ， 曾经 是 位 非常 出色 的 舞蹈演员 ， 两人 在 一起 共同 生活 了 几十年 ， 并育 有 一子 取名为 李贺 。,人物关系/亲属关系/配偶/丈夫/前夫
江珊,高曙光,2003 年 10 月 ， 江珊 、 高曙光 离婚 ， 女儿 高亦心 由 江珊 抚养 。,人物关系/亲属关系/配偶/丈夫/前夫
张洁,周立波,1990 年 ， 周立波 爱上 了 比 自己 大 6 岁 的 女子 张洁 ， 却 受到 女方 父母 的 坚决 反对 。,人物关系/亲属关系/配偶/丈夫/前夫
张洁,周立波,周立波 ： 房子 是 我 买 的 ， 但是 户主 写 的 是 张洁 妹妹 的 名字 ， 房子 的 按揭 款 也 是 我 直接 打到 卡 上去 的 … …,人物关系/亲属关系/配偶/丈夫/前夫
许婧,陈赫,陈赫 、 许婧,人物关系/亲属关系/配偶/丈夫/前夫
傅明宪,叶剑波,1999 年底 ， 叶剑波 迎娶 香港 女星 傅明宪 ， 后 颓势 大 变 ， 很快 起死回生 、 化危 为 安 。,人物关系/亲属关系/配偶/丈夫/前夫
金友庄,高凌风,林美秀 、 高凌风 、 金友庄 、 葛兆恩 、 松本 秀树 、 大介 、 康丁 、 阿布 、 汪建民,人物关系/亲属关系/配偶/丈夫/前夫
何超琼,许晋亨,何超琼 = 许晋亨,人物关系/亲属关系/配偶/丈夫/前夫
严英云,徐良,（ 二 ） 人物 故事 : 剧中 的 严英云 出身 于 阔气 人家 ， 从小 就 与 徐良 指腹为婚 。,人物关系/亲属关系/配偶/丈夫/未婚夫
左蓝,余则成,2008 年 在 孙红雷 、 姚晨 主演 的 谍战剧 《 潜伏 》 中 扮演 左蓝 是 余则成 的 未婚妻 ， 也 是 余则成 被 成功 策反 的 关键人物 [ 18 - 19 ] 。,人物关系/亲属关系/配偶/丈夫/未婚夫
尤三姐,柳湘莲,尤三姐 羞愤 自刎 ， 柳湘莲 悔恨 不已 看破红尘 出家 ....,人物关系/亲属关系/配偶/丈夫/未婚夫
尤三姐,柳湘莲,贾琏 将 鸳鸯 剑 带回 ， 并 告知 此事 ， 尤三姐 从此 日夜 盼望着 柳湘莲 的 到来 。,人物关系/亲属关系/配偶/丈夫/未婚夫
左蓝,余则成,余则成 无意 中 发现 戴笠 等 人为 私利 而 向 日军 泄露 新四军 情报 ， 也 彻底 看清 国民党 失去 民心 的 原因 ， 加上 左蓝 的 劝告 ， 遂 弃暗投明 。,人物关系/亲属关系/配偶/丈夫/未婚夫
唐悠悠,关谷神奇,原 剧中 9 大 主角 曾小贤 、 胡一菲 、 吕子乔 、 陈美嘉 、 关谷神奇 、 唐悠悠 、 陆展博 、 林宛瑜 、 张伟 等 将 悉数 亮相 手游 ！,人物关系/亲属关系/配偶/丈夫/未婚夫
顾倩兮,卢云,但据 讲武堂 网站 上 的 介绍 说 ， 卢云 是 个 大团圆 的 结局 ， 和 顾倩兮 双宿双飞 了 。,人物关系/亲属关系/配偶/丈夫/未婚夫
尤三姐,柳湘莲,但 因 柳湘莲 误 听 他人 传言 ， 怀疑 尤三姐 也 是 个 不 干净 之 人 ， 要 索回 定礼 ， 刚烈 的 尤三姐 在 奉还 定礼 时 拔剑 自刎 。,人物关系/亲属关系/配偶/丈夫/未婚夫
林黛羽,俞佩玉,后来 林黛羽 为 救 俞佩玉 假施 苦肉计 ， 在 红莲花 把 她 带走 之后 就 没有 更新 的 消息 。,人物关系/亲属关系/配偶/丈夫/未婚夫
唐悠悠,关谷神奇,阿邦 角色 简介 : 与 妻子 阿冰谈 了 三年 的 恋爱 ， 就 在 准备 举办 婚礼 的 前 三个 月 ， 差点 分手 ， 幸亏 关谷神奇 和 唐悠悠 把 他们 俩 劝 和 。,人物关系/亲属关系/配偶/丈夫/未婚夫
